,0
277,160.0
278,41.0
279,161.0
280,159.0
281,16.0
282,162.0
283,58.0
284,79.0
285,83.0
286,6.0
287,163.0
288,164.0
289,163.0
290,98.0
291,165.0
292,60.0
293,166.0
294,167.0
295,121.0
296,62.0
297,168.0
298,92.0
299,169.0
300,65.0
301,170.0
302,94.0
303,116.0
304,128.0
305,171.0
306,77.0
307,136.0
308,172.0
309,173.0
310,42.0
311,174.0
312,175.0
313,176.0
314,79.0
315,124.0
316,177.0
317,178.0
318,179.0
319,180.0
320,26.0
321,181.0
322,142.0
323,182.0
324,23.0
325,129.0
326,183.0
327,95.0
328,46.0
329,16.0
330,184.0
331,185.0
332,75.0
333,79.0
334,186.0
335,187.0
336,15.0
337,188.0
338,176.0
339,93.0
340,189.0
341,190.0
342,191.0
343,192.0
344,16.0
345,193.0
346,16.0
347,90.0
348,28.0
349,129.0
350,194.0
351,195.0
352,196.0
353,197.0
354,121.0
355,6.0
356,93.0
357,63.0
358,34.0
359,34.0
360,198.0
361,143.0
362,199.0
363,112.0
364,200.0
365,23.0
366,19.0
367,19.0
368,27.0
369,22.0
370,201.0
371,21.0
372,54.0
373,121.0
374,99.0
375,202.0
376,203.0
377,204.0
378,25.0
379,163.0
380,142.0
381,98.0
382,34.0
383,176.0
384,23.0
385,19.0
386,129.0
387,205.0
388,97.0
389,206.0
390,58.0
391,140.0
392,196.0
393,164.0
394,42.0
395,207.0
396,94.0
397,3.0
398,57.0
399,197.0
400,19.0
401,14.0
402,123.0
403,38.0
404,115.0
405,68.0
406,21.0
407,64.0
408,3.0
409,129.0
410,67.0
411,208.0
412,21.0
413,209.0
414,102.0
415,21.0
416,58.0
417,98.0
418,1.0
419,147.0
420,21.0
421,19.0
422,143.0
423,191.0
424,28.0
425,210.0
426,131.0
427,108.0
428,126.0
429,61.0
430,176.0
431,170.0
432,211.0
433,196.0
434,3.0
435,77.0
436,197.0
437,212.0
438,105.0
439,213.0
440,214.0
441,202.0
442,67.0
443,142.0
444,168.0
445,215.0
446,110.0
447,216.0
448,202.0
449,196.0
450,41.0
451,217.0
452,218.0
453,2.0
454,60.0
455,219.0
456,220.0
457,3.0
458,221.0
459,6.0
460,196.0
461,19.0
462,61.0
463,222.0
464,164.0
465,223.0
466,83.0
467,224.0
468,174.0
469,214.0
470,225.0
471,226.0
472,105.0
473,41.0
474,129.0
475,182.0
476,46.0
477,227.0
478,41.0
479,228.0
480,229.0
481,143.0
482,125.0
483,8.0
484,92.0
485,230.0
486,174.0
487,34.0
488,228.0
489,58.0
490,41.0
491,137.0
492,231.0
493,232.0
494,177.0
495,233.0
496,41.0
497,86.0
498,85.0
499,42.0
500,234.0
501,235.0
502,236.0
503,98.0
504,148.0
505,58.0
506,2.0
507,237.0
508,152.0
509,177.0
510,237.0
511,22.0
512,23.0
513,42.0
514,238.0
515,239.0
516,240.0
517,241.0
518,105.0
519,242.0
520,46.0
521,63.0
522,243.0
523,83.0
524,244.0
525,25.0
526,172.0
527,245.0
528,35.0
529,58.0
530,81.0
531,210.0
532,116.0
533,204.0
534,246.0
535,247.0
536,248.0
537,53.0
538,34.0
539,16.0
540,90.0
541,46.0
542,158.0
543,62.0
544,8.0
545,249.0
546,195.0
547,113.0
548,157.0
549,128.0
550,129.0
551,214.0
552,29.0
553,250.0
554,19.0
555,21.0
556,19.0
557,163.0
558,145.0
559,113.0
560,229.0
561,251.0
562,166.0
563,252.0
564,60.0
565,253.0
566,105.0
567,254.0
568,163.0
569,21.0
570,241.0
571,41.0
572,58.0
573,6.0
574,137.0
575,255.0
576,256.0
577,182.0
578,60.0
579,18.0
580,103.0
581,257.0
582,105.0
583,21.0
584,164.0
585,152.0
586,128.0
587,189.0
588,141.0
589,258.0
590,19.0
591,259.0
592,75.0
593,79.0
594,191.0
595,260.0
596,157.0
597,3.0
598,261.0
599,262.0
600,263.0
601,140.0
602,87.0
603,105.0
604,241.0
605,19.0
606,264.0
607,265.0
608,14.0
609,2.0
610,104.0
611,184.0
612,266.0
613,241.0
614,142.0
615,190.0
616,162.0
617,267.0
618,268.0
619,269.0
620,79.0
621,190.0
622,270.0
623,137.0
624,58.0
625,16.0
626,98.0
627,94.0
628,99.0
629,87.0
630,271.0
631,241.0
632,22.0
633,13.0
634,265.0
635,272.0
636,16.0
637,273.0
638,274.0
639,19.0
640,33.0
641,231.0
642,6.0
643,202.0
644,19.0
645,63.0
646,275.0
647,16.0
648,27.0
649,276.0
650,170.0
651,42.0
652,63.0
653,62.0
654,134.0
655,16.0
656,105.0
657,34.0
658,41.0
659,277.0
660,258.0
661,99.0
662,93.0
663,278.0
664,98.0
665,279.0
666,25.0
667,3.0
668,83.0
669,98.0
670,280.0
671,79.0
672,137.0
673,127.0
674,48.0
675,63.0
676,210.0
677,41.0
678,42.0
679,94.0
680,281.0
681,231.0
682,16.0
683,282.0
684,34.0
685,134.0
686,283.0
687,121.0
688,63.0
689,92.0
690,47.0
691,203.0
692,21.0
693,210.0
694,161.0
695,85.0
696,126.0
697,284.0
698,60.0
699,191.0
700,237.0
701,86.0
702,34.0
703,108.0
704,47.0
705,285.0
706,103.0
707,243.0
708,25.0
709,98.0
710,53.0
711,42.0
712,190.0
713,173.0
714,168.0
715,286.0
716,287.0
717,21.0
718,16.0
719,141.0
720,288.0
721,115.0
722,289.0
723,130.0
724,164.0
725,35.0
726,290.0
727,129.0
728,3.0
729,31.0
730,22.0
731,58.0
732,291.0
733,292.0
734,8.0
735,293.0
736,294.0
737,63.0
738,47.0
739,295.0
740,189.0
741,35.0
742,296.0
743,113.0
744,196.0
745,198.0
746,81.0
747,127.0
748,297.0
749,105.0
750,98.0
751,21.0
752,6.0
753,58.0
754,276.0
755,142.0
756,298.0
757,142.0
758,16.0
759,98.0
760,286.0
761,89.0
762,46.0
763,13.0
764,276.0
765,128.0
766,58.0
767,105.0
768,19.0
769,108.0
770,143.0
771,299.0
772,136.0
773,300.0
774,126.0
775,301.0
776,302.0
777,242.0
778,67.0
779,303.0
780,41.0
781,21.0
782,304.0
783,46.0
784,305.0
785,147.0
786,21.0
787,306.0
788,22.0
789,116.0
790,128.0
791,236.0
792,307.0
793,179.0
794,308.0
795,157.0
796,309.0
797,16.0
798,15.0
799,41.0
800,21.0
801,226.0
802,74.0
803,310.0
804,7.0
805,18.0
806,197.0
807,47.0
808,141.0
809,23.0
810,163.0
811,62.0
812,252.0
813,41.0
814,311.0
815,2.0
816,22.0
817,236.0
818,41.0
819,312.0
820,313.0
821,35.0
822,95.0
823,137.0
824,77.0
825,90.0
826,314.0
827,315.0
828,21.0
829,137.0
830,92.0
831,54.0
832,89.0
833,3.0
834,28.0
835,140.0
836,2.0
837,34.0
838,21.0
839,34.0
840,316.0
841,235.0
842,317.0
843,25.0
844,318.0
845,319.0
846,83.0
847,74.0
848,320.0
849,89.0
850,18.0
851,261.0
852,152.0
853,175.0
854,74.0
855,125.0
856,108.0
857,58.0
858,81.0
859,144.0
860,46.0
861,116.0
862,321.0
863,238.0
864,38.0
865,3.0
866,41.0
867,23.0
868,137.0
869,214.0
870,322.0
871,6.0
872,16.0
873,283.0
874,7.0
875,152.0
876,163.0
877,323.0
878,324.0
879,6.0
880,145.0
881,169.0
882,16.0
883,325.0
884,326.0
885,143.0
886,292.0
887,41.0
888,235.0
889,79.0
890,21.0
891,28.0
892,135.0
893,163.0
894,74.0
895,3.0
896,117.0
897,2.0
898,18.0
899,187.0
900,105.0
901,276.0
902,270.0
903,327.0
904,41.0
905,121.0
906,42.0
907,113.0
908,328.0
909,28.0
910,209.0
911,159.0
912,329.0
913,52.0
914,42.0
915,176.0
916,243.0
917,34.0
918,22.0
919,105.0
920,222.0
921,186.0
922,20.0
923,324.0
924,330.0
925,163.0
926,21.0
927,98.0
928,164.0
929,92.0
930,41.0
931,331.0
932,53.0
933,42.0
934,332.0
935,63.0
936,2.0
937,8.0
938,333.0
939,276.0
940,98.0
941,142.0
942,60.0
943,92.0
944,45.0
945,48.0
946,98.0
947,142.0
948,75.0
949,334.0
950,335.0
951,79.0
952,75.0
953,6.0
954,79.0
955,174.0
956,336.0
957,105.0
958,337.0
959,116.0
960,196.0
961,65.0
962,3.0
963,226.0
964,3.0
965,298.0
966,243.0
967,18.0
968,28.0
969,19.0
970,282.0
971,338.0
972,148.0
973,18.0
974,308.0
975,83.0
976,2.0
977,265.0
978,339.0
979,340.0
980,6.0
981,47.0
982,210.0
983,341.0
984,60.0
985,46.0
986,45.0
987,342.0
988,97.0
989,58.0
990,302.0
991,75.0
992,87.0
993,183.0
994,191.0
995,16.0
996,83.0
997,15.0
998,34.0
999,343.0
1000,276.0
1001,113.0
1002,191.0
1003,64.0
1004,248.0
1005,344.0
1006,6.0
1007,57.0
1008,6.0
1009,345.0
1010,304.0
1011,79.0
1012,18.0
1013,140.0
1014,18.0
1015,83.0
1016,270.0
1017,346.0
1018,28.0
1019,103.0
1020,128.0
1021,6.0
1022,25.0
1023,274.0
1024,226.0
1025,19.0
1026,278.0
1027,87.0
1028,63.0
1029,67.0
1030,25.0
1031,23.0
1032,347.0
1033,182.0
1034,21.0
1035,348.0
1036,349.0
1037,58.0
1038,79.0
1039,71.0
1040,19.0
1041,41.0
1042,350.0
1043,351.0
1044,106.0
1045,103.0
1046,60.0
1047,25.0
1048,35.0
1049,231.0
1050,352.0
1051,37.0
1052,278.0
1053,353.0
1054,38.0
1055,6.0
1056,300.0
1057,354.0
1058,16.0
1059,176.0
1060,355.0
1061,74.0
1062,210.0
1063,184.0
1064,21.0
1065,77.0
1066,18.0
1067,356.0
1068,243.0
1069,173.0
1070,129.0
1071,357.0
1072,286.0
1073,274.0
1074,358.0
1075,299.0
1076,23.0
1077,359.0
1078,116.0
1079,92.0
1080,54.0
1081,6.0
1082,16.0
1083,360.0
1084,16.0
1085,121.0
1086,78.0
1087,222.0
1088,136.0
1089,116.0
1090,274.0
1091,124.0
1092,126.0
1093,361.0
1094,19.0
1095,296.0
1096,284.0
1097,362.0
1098,363.0
1099,229.0
1100,9.0
1101,232.0
1102,143.0
1103,258.0
1104,236.0
1105,364.0
1106,142.0
1107,202.0
1108,130.0
1109,8.0
1110,28.0
1111,52.0
1112,28.0
1113,365.0
1114,176.0
1115,359.0
1116,32.0
1117,113.0
1118,16.0
1119,196.0
1120,83.0
1121,23.0
1122,6.0
1123,253.0
1124,366.0
1125,21.0
1126,92.0
1127,116.0
1128,34.0
1129,16.0
1130,100.0
1131,90.0
1132,79.0
1133,367.0
1134,368.0
1135,229.0
1136,196.0
1137,85.0
1138,108.0
1139,21.0
1140,196.0
1141,56.0
1142,8.0
1143,99.0
1144,15.0
1145,87.0
1146,35.0
1147,187.0
1148,6.0
1149,152.0
1150,1.0
1151,369.0
1152,116.0
1153,19.0
1154,41.0
1155,226.0
1156,129.0
1157,20.0
1158,166.0
1159,92.0
1160,62.0
1161,41.0
1162,79.0
1163,203.0
1164,63.0
1165,176.0
1166,105.0
1167,94.0
1168,42.0
1169,58.0
1170,121.0
1171,87.0
1172,68.0
1173,25.0
1174,110.0
1175,370.0
1176,28.0
1177,352.0
1178,242.0
1179,128.0
1180,371.0
1181,190.0
1182,102.0
1183,105.0
1184,40.0
1185,22.0
1186,241.0
1187,353.0
1188,30.0
1189,372.0
1190,58.0
1191,208.0
1192,16.0
1193,184.0
1194,85.0
1195,222.0
1196,202.0
1197,373.0
1198,374.0
1199,67.0
1200,6.0
1201,100.0
1202,268.0
1203,189.0
1204,6.0
1205,142.0
1206,116.0
1207,140.0
1208,375.0
1209,9.0
1210,61.0
1211,376.0
1212,237.0
1213,142.0
1214,377.0
1215,62.0
1216,35.0
1217,16.0
1218,134.0
1219,85.0
1220,3.0
1221,103.0
1222,23.0
1223,226.0
1224,190.0
1225,253.0
1226,19.0
1227,53.0
1228,108.0
1229,18.0
1230,378.0
1231,41.0
1232,16.0
1233,21.0
1234,66.0
1235,3.0
1236,65.0
1237,46.0
1238,344.0
1239,182.0
1240,105.0
1241,379.0
1242,176.0
1243,79.0
1244,87.0
1245,21.0
1246,58.0
1247,97.0
1248,108.0
1249,3.0
1250,84.0
1251,115.0
1252,86.0
1253,380.0
1254,26.0
1255,7.0
1256,6.0
1257,41.0
1258,19.0
1259,108.0
1260,242.0
1261,22.0
1262,64.0
1263,272.0
1264,345.0
1265,63.0
1266,121.0
1267,79.0
1268,6.0
1269,41.0
1270,37.0
1271,120.0
1272,46.0
1273,243.0
1274,137.0
1275,159.0
1276,64.0
1277,137.0
1278,58.0
1279,45.0
1280,116.0
1281,294.0
1282,381.0
1283,213.0
1284,21.0
1285,2.0
1286,226.0
1287,92.0
1288,51.0
1289,382.0
1290,99.0
1291,28.0
1292,6.0
1293,87.0
1294,98.0
1295,383.0
1296,384.0
1297,34.0
1298,34.0
1299,26.0
1300,385.0
1301,37.0
1302,21.0
1303,209.0
1304,41.0
1305,385.0
1306,100.0
1307,25.0
1308,25.0
1309,386.0
1310,119.0
1311,85.0
1312,105.0
1313,46.0
1314,282.0
1315,46.0
1316,35.0
1317,387.0
1318,74.0
1319,322.0
1320,86.0
1321,162.0
1322,142.0
1323,388.0
1324,58.0
1325,60.0
1326,63.0
1327,105.0
1328,16.0
1329,65.0
1330,237.0
1331,89.0
1332,134.0
1333,87.0
1334,25.0
1335,81.0
1336,124.0
1337,55.0
1338,354.0
1339,105.0
1340,276.0
1341,389.0
1342,390.0
1343,94.0
1344,164.0
1345,202.0
1346,48.0
1347,99.0
1348,32.0
1349,127.0
1350,391.0
1351,59.0
1352,34.0
1353,300.0
1354,261.0
1355,392.0
1356,393.0
1357,100.0
1358,31.0
1359,394.0
1360,163.0
1361,34.0
1362,2.0
1363,23.0
1364,113.0
1365,63.0
1366,123.0
1367,42.0
1368,62.0
1369,395.0
1370,23.0
1371,62.0
1372,396.0
1373,140.0
1374,46.0
1375,298.0
1376,21.0
1377,397.0
1378,159.0
1379,50.0
1380,77.0
1381,93.0
1382,61.0
1383,22.0
1384,116.0
1385,23.0
1386,34.0
1387,50.0
1388,42.0
1389,31.0
1390,231.0
1391,202.0
1392,192.0
1393,17.0
1394,51.0
1395,22.0
1396,64.0
1397,319.0
1398,282.0
1399,359.0
1400,105.0
1401,143.0
1402,137.0
1403,157.0
1404,142.0
1405,398.0
1406,102.0
1407,251.0
1408,121.0
1409,22.0
1410,19.0
1411,399.0
1412,41.0
1413,113.0
1414,345.0
1415,214.0
1416,55.0
1417,21.0
1418,302.0
1419,159.0
1420,400.0
1421,87.0
1422,2.0
1423,53.0
1424,35.0
1425,222.0
1426,105.0
1427,121.0
1428,58.0
1429,79.0
1430,196.0
1431,41.0
1432,63.0
1433,373.0
1434,401.0
1435,168.0
1436,104.0
1437,402.0
1438,176.0
1439,110.0
1440,29.0
1441,403.0
1442,310.0
1443,63.0
1444,404.0
1445,28.0
1446,189.0
1447,54.0
1448,302.0
1449,6.0
1450,6.0
1451,286.0
1452,243.0
1453,41.0
1454,146.0
1455,8.0
1456,159.0
1457,6.0
1458,90.0
1459,184.0
1460,21.0
1461,30.0
1462,106.0
1463,46.0
1464,405.0
1465,179.0
1466,19.0
1467,92.0
1468,406.0
1469,128.0
1470,89.0
1471,407.0
1472,50.0
1473,408.0
1474,143.0
1475,123.0
1476,137.0
1477,270.0
1478,58.0
1479,137.0
1480,184.0
1481,409.0
1482,410.0
1483,42.0
1484,222.0
1485,411.0
1486,168.0
1487,232.0
1488,35.0
1489,243.0
1490,28.0
1491,412.0
1492,121.0
1493,92.0
1494,299.0
1495,170.0
1496,276.0
1497,97.0
1498,413.0
1499,105.0
1500,116.0
1501,60.0
1502,366.0
1503,398.0
1504,414.0
1505,19.0
1506,105.0
1507,21.0
1508,99.0
1509,163.0
1510,364.0
1511,57.0
1512,415.0
1513,214.0
1514,152.0
1515,90.0
1516,41.0
1517,202.0
1518,54.0
1519,53.0
1520,46.0
1521,63.0
1522,6.0
1523,106.0
1524,416.0
1525,275.0
1526,42.0
1527,105.0
1528,377.0
1529,42.0
1530,346.0
1531,46.0
1532,41.0
1533,129.0
1534,417.0
1535,418.0
1536,41.0
1537,143.0
1538,127.0
1539,128.0
1540,419.0
1541,50.0
1542,152.0
1543,35.0
1544,90.0
1545,53.0
1546,22.0
1547,282.0
1548,420.0
1549,147.0
1550,22.0
1551,21.0
1552,355.0
1553,62.0
1554,48.0
1555,57.0
1556,350.0
1557,41.0
1558,421.0
1559,214.0
1560,422.0
1561,3.0
1562,46.0
1563,405.0
1564,35.0
1565,87.0
1566,102.0
1567,100.0
1568,298.0
1569,423.0
1570,22.0
1571,142.0
1572,41.0
1573,22.0
1574,129.0
1575,141.0
1576,364.0
1577,6.0
1578,416.0
1579,190.0
1580,257.0
1581,346.0
1582,159.0
1583,229.0
1584,85.0
1585,124.0
1586,6.0
1587,248.0
1588,53.0
1589,336.0
1590,53.0
1591,6.0
1592,308.0
1593,413.0
1594,424.0
1595,29.0
1596,64.0
1597,425.0
1598,331.0
1599,110.0
1600,368.0
1601,21.0
1602,8.0
1603,143.0
1604,426.0
1605,427.0
1606,428.0
1607,7.0
1608,21.0
1609,106.0
1610,348.0
1611,429.0
1612,35.0
1613,60.0
1614,28.0
1615,50.0
1616,16.0
1617,35.0
1618,430.0
1619,336.0
1620,60.0
1621,83.0
1622,117.0
1623,75.0
1624,157.0
1625,56.0
1626,142.0
1627,282.0
1628,41.0
1629,268.0
1630,431.0
1631,228.0
1632,432.0
1633,166.0
1634,3.0
1635,42.0
1636,296.0
1637,283.0
1638,347.0
1639,275.0
1640,176.0
1641,25.0
1642,19.0
1643,433.0
1644,2.0
1645,83.0
1646,179.0
1647,434.0
1648,190.0
1649,60.0
1650,116.0
1651,116.0
1652,25.0
1653,16.0
1654,435.0
1655,276.0
1656,19.0
1657,436.0
1658,437.0
1659,346.0
1660,159.0
1661,41.0
1662,129.0
1663,3.0
1664,28.0
1665,1.0
1666,190.0
1667,170.0
1668,143.0
1669,438.0
1670,439.0
1671,46.0
1672,223.0
1673,106.0
1674,440.0
1675,6.0
1676,353.0
1677,441.0
1678,141.0
1679,442.0
1680,319.0
1681,16.0
1682,174.0
1683,90.0
1684,108.0
1685,197.0
1686,128.0
1687,174.0
1688,58.0
1689,147.0
1690,134.0
1691,231.0
1692,16.0
1693,153.0
1694,276.0
1695,99.0
1696,100.0
1697,6.0
1698,344.0
1699,34.0
1700,140.0
1701,115.0
1702,85.0
1703,443.0
1704,444.0
1705,196.0
1706,58.0
1707,445.0
1708,414.0
1709,62.0
1710,50.0
1711,74.0
1712,237.0
1713,81.0
1714,59.0
1715,10.0
1716,58.0
1717,146.0
1718,210.0
1719,446.0
1720,266.0
1721,32.0
1722,276.0
1723,86.0
1724,16.0
1725,79.0
1726,203.0
1727,39.0
1728,87.0
1729,97.0
1730,123.0
1731,28.0
1732,191.0
1733,21.0
1734,41.0
1735,14.0
1736,447.0
1737,3.0
1738,143.0
1739,35.0
1740,448.0
1741,449.0
1742,450.0
1743,97.0
1744,75.0
1745,62.0
1746,105.0
1747,34.0
1748,116.0
1749,99.0
1750,231.0
1751,152.0
1752,451.0
1753,452.0
1754,453.0
1755,454.0
1756,174.0
1757,102.0
1758,275.0
1759,3.0
1760,39.0
1761,455.0
1762,456.0
1763,457.0
1764,98.0
1765,196.0
1766,37.0
1767,105.0
1768,68.0
1769,322.0
1770,158.0
1771,174.0
1772,6.0
1773,47.0
1774,294.0
1775,35.0
1776,19.0
1777,19.0
1778,97.0
1779,42.0
1780,42.0
1781,458.0
1782,211.0
1783,459.0
1784,67.0
1785,19.0
1786,261.0
1787,177.0
1788,105.0
1789,28.0
1790,140.0
1791,159.0
1792,460.0
1793,129.0
1794,105.0
1795,461.0
1796,394.0
1797,48.0
1798,22.0
1799,116.0
1800,126.0
1801,46.0
1802,253.0
1803,163.0
1804,462.0
1805,380.0
1806,230.0
1807,463.0
1808,62.0
1809,336.0
1810,23.0
1811,464.0
1812,108.0
1813,3.0
1814,28.0
1815,53.0
1816,19.0
1817,228.0
1818,152.0
1819,55.0
1820,174.0
1821,410.0
1822,93.0
1823,252.0
1824,163.0
1825,130.0
1826,196.0
1827,28.0
1828,35.0
1829,79.0
1830,18.0
1831,159.0
1832,18.0
1833,6.0
1834,105.0
1835,28.0
1836,33.0
1837,79.0
1838,465.0
1839,58.0
1840,353.0
1841,191.0
1842,248.0
1843,333.0
1844,75.0
1845,15.0
1846,34.0
1847,382.0
1848,46.0
1849,3.0
1850,34.0
1851,19.0
1852,19.0
1853,466.0
1854,467.0
1855,78.0
1856,41.0
1857,163.0
1858,119.0
1859,88.0
1860,53.0
1861,174.0
1862,41.0
1863,42.0
1864,59.0
1865,242.0
1866,468.0
1867,148.0
1868,130.0
1869,202.0
1870,248.0
1871,42.0
1872,469.0
1873,188.0
1874,113.0
1875,41.0
1876,470.0
1877,140.0
1878,19.0
1879,197.0
1880,471.0
1881,53.0
1882,287.0
1883,121.0
1884,319.0
1885,119.0
1886,142.0
1887,282.0
1888,161.0
1889,34.0
1890,237.0
1891,41.0
1892,18.0
1893,130.0
1894,294.0
1895,406.0
1896,188.0
1897,472.0
1898,67.0
1899,345.0
1900,213.0
1901,46.0
1902,6.0
1903,283.0
1904,352.0
1905,97.0
1906,6.0
1907,110.0
1908,90.0
1909,222.0
1910,87.0
1911,28.0
1912,23.0
1913,232.0
1914,65.0
1915,113.0
1916,137.0
1917,186.0
1918,385.0
1919,411.0
1920,41.0
1921,473.0
1922,6.0
1923,87.0
1924,124.0
1925,213.0
1926,6.0
1927,179.0
1928,34.0
1929,474.0
1930,69.0
1931,16.0
1932,475.0
1933,476.0
1934,477.0
1935,34.0
1936,21.0
1937,478.0
1938,52.0
1939,120.0
1940,22.0
1941,190.0
1942,321.0
1943,81.0
1944,398.0
1945,21.0
1946,239.0
1947,142.0
1948,21.0
1949,195.0
1950,479.0
1951,16.0
1952,46.0
1953,196.0
1954,345.0
1955,22.0
1956,115.0
1957,92.0
1958,28.0
1959,480.0
1960,105.0
1961,481.0
1962,482.0
1963,84.0
1964,53.0
1965,202.0
1966,41.0
1967,483.0
1968,396.0
1969,46.0
1970,484.0
1971,485.0
1972,234.0
1973,486.0
1974,487.0
1975,58.0
1976,488.0
1977,189.0
1978,19.0
1979,57.0
1980,42.0
1981,27.0
1982,489.0
1983,162.0
1984,28.0
1985,228.0
1986,490.0
1987,147.0
1988,30.0
1989,99.0
1990,491.0
1991,492.0
1992,144.0
1993,21.0
1994,270.0
1995,493.0
1996,92.0
1997,58.0
1998,316.0
1999,116.0
2000,21.0
2001,95.0
2002,223.0
2003,90.0
2004,113.0
2005,105.0
2006,494.0
2007,242.0
2008,35.0
2009,253.0
2010,128.0
2011,87.0
2012,22.0
2013,42.0
2014,323.0
2015,234.0
2016,84.0
2017,176.0
2018,265.0
2019,35.0
2020,61.0
2021,486.0
2022,495.0
2023,270.0
2024,164.0
2025,10.0
2026,20.0
2027,129.0
2028,266.0
2029,496.0
2030,457.0
2031,497.0
2032,18.0
2033,276.0
2034,253.0
2035,498.0
2036,58.0
2037,499.0
2038,62.0
2039,500.0
2040,229.0
2041,501.0
2042,383.0
2043,147.0
2044,100.0
2045,62.0
2046,59.0
2047,83.0
2048,502.0
2049,90.0
2050,275.0
2051,388.0
2052,100.0
2053,503.0
2054,128.0
2055,159.0
2056,27.0
2057,41.0
2058,113.0
2059,60.0
2060,33.0
2061,25.0
2062,42.0
2063,333.0
2064,504.0
2065,92.0
2066,42.0
2067,134.0
2068,22.0
2069,105.0
2070,35.0
2071,6.0
2072,113.0
2073,74.0
2074,141.0
2075,505.0
2076,3.0
2077,105.0
2078,46.0
2079,100.0
2080,129.0
2081,3.0
2082,105.0
2083,203.0
2084,257.0
2085,274.0
2086,123.0
2087,192.0
2088,23.0
2089,65.0
2090,506.0
2091,22.0
2092,41.0
2093,6.0
2094,502.0
2095,99.0
2096,3.0
2097,124.0
2098,41.0
2099,3.0
2100,507.0
2101,41.0
2102,53.0
2103,319.0
2104,45.0
2105,115.0
2106,99.0
2107,41.0
2108,60.0
2109,494.0
2110,3.0
2111,3.0
2112,508.0
2113,509.0
2114,78.0
2115,2.0
2116,19.0
2117,510.0
2118,511.0
2119,60.0
2120,35.0
2121,134.0
2122,512.0
2123,210.0
2124,129.0
2125,417.0
2126,58.0
2127,170.0
2128,284.0
2129,513.0
2130,170.0
2131,129.0
2132,83.0
2133,21.0
2134,514.0
2135,58.0
2136,23.0
2137,34.0
2138,416.0
2139,515.0
2140,126.0
2141,79.0
